post_id,author,timestamp,timestamp_ms,content_text,scrape_time
356887461,Unknown,2025-04-02 11:27:16,1743593236921.0,"$DYDX Determination of the nearest levels (2h):
Support (0.608);
Resistance (0.6758).

  www.tradingview.com/chart/DYDX...

Public reporting on current and previous notes -
  docs.google.com/spreadsheets/d...

#Trading
#Analysis",2025-04-02 13:37:47
356883422,Unknown,2025-04-02 09:56:40,1743587800637.0,"$DYDX Determination of the nearest levels (2h):
Support (0.608);
Resistance (0.6758).

  www.tradingview.com/chart/DYDX...

Public reporting on current and previous notes -
  docs.google.com/spreadsheets/d...

#Trading
#Analysis",2025-04-02 13:37:48
356880839,Unknown,2025-04-02 09:25:45,1743585945052.0,"$DYDX Determination of the nearest levels (2h):
Support (0.608);
Resistance (0.6758).

  www.tradingview.com/chart/DYDX...

Public reporting on current and previous notes -
  docs.google.com/spreadsheets/d...

#Trading
#Analysis",2025-04-02 13:37:48
356868889,Unknown,2025-04-01 22:19:22,1743545962142.0,"$DYDX Determination of the nearest levels (2h):
Support (0.608);
Resistance (0.6758).

  www.tradingview.com/chart/DYDX...

Public reporting on current and previous notes -
  docs.google.com/spreadsheets/d...

#Trading
#Analysis",2025-04-02 13:37:49
356868125,Unknown,2025-04-01 19:54:34,1743537274015.0,"$DYDX Determination of the nearest levels (2h):
Support (0.608);
Resistance (0.6758).

  www.tradingview.com/chart/DYDX...

Public reporting on current and previous notes -
  docs.google.com/spreadsheets/d...

#Trading
#Analysis",2025-04-02 13:37:50
356845670,Unknown,2025-04-01 05:42:21,1743486141319.0,"The power of $DYDX.
dYdX launched in 2017 as the first perp DEX, and in 2021, became one of the first perp DEXs to launch a token.
4 years later, 85% of $DYDX have been unlocked with 0.83% of the supply currently being unlocked every month until all unlocks end in June 2026.",2025-04-02 13:37:59
356842102,Unknown,2025-04-01 04:21:04,1743481264488.0,"The power of $DYDX.
dYdX launched in 2017 as the first perp DEX, and in 2021, became one of the first perp DEXs to launch a token.
4 years later, 85% of $DYDX have been unlocked with 0.83% of the supply currently being unlocked every month until all unlocks end in June 2026.",2025-04-02 13:38:00
356833963,Unknown,2025-03-31 22:25:34,1743459934484.0,$DYDX keep calm & hodl 💫✨,2025-04-02 13:38:00
356833961,Unknown,2025-03-31 22:25:01,1743459901852.0,$DYDX keep calm & hodl 💫✨,2025-04-02 13:38:01
356837972,Unknown,2025-03-31 22:16:36,1743459396408.0,"$DYDX short this scum, good job huliana",2025-04-02 13:38:02
356836706,Unknown,2025-03-31 20:57:01,1743454621731.0,"$DYDX short this garbage until zero, clown huliana and his team of faggots",2025-04-02 13:38:03
356836466,Unknown,2025-03-31 19:52:35,1743450755244.0,I'm bullish on $DYDX,2025-04-02 13:38:03
356831244,Unknown,2025-03-31 15:49:45,1743436185099.0,I'm bearish on $DYDX because huliana is bitch,2025-04-02 13:38:04
356804988,Unknown,2025-03-30 23:07:36,1743376056503.0,$DYDX scum clown huliana and garbage shitcoin huydex,2025-04-02 13:38:16
356777944,Unknown,2025-03-30 15:28:20,1743348500483.0,$DYDX scum clown huliana and garbage shitcoin huydex,2025-04-02 13:38:17
356776450,Unknown,2025-03-30 14:52:45,1743346365047.0,"$DYDX huliana is crypto clown, don't buy this garbage",2025-04-02 13:38:18
356765470,Unknown,2025-03-30 10:04:45,1743329085129.0,$DYDX who know why huliana is scummmer?,2025-04-02 13:38:28
356758914,Unknown,2025-03-30 02:16:45,1743301005277.0,"A standout feature of the new dYdX Buyback Program is how it creates shared value across the ecosystem.
By allocating 25% of net protocol fees toward purchasing and staking $DYDX, the program ensures that as the platform grows, so does the benefit to both token holders and the network itself - supporting stronger token dynamics and a healthier protocol over time.",2025-04-02 13:38:29
356752415,Unknown,2025-03-30 00:48:44,1743295724391.0,"$DYDX will buy some @ 0,1$",2025-04-02 13:38:30
356748296,Unknown,2025-03-29 14:07:45,1743257265049.0,"$DYDX will buy some @ 0,1$",2025-04-02 13:38:33
356715976,Unknown,2025-03-28 13:01:45,1743166905168.0,"$HOT surges past $0.0008 resistance, now aiming for $0.0034 with $DYDX driving momentum. Increasing volume signals confidence, but tracking $BTC dominance is crucial for assessing trend sustainability in the current market cycle.",2025-04-02 13:38:42
